epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.453,1.3851,2.07962,1.60381,0.70314,0.58808,0.65339,0.31243,1.4886,2.54931,1.7816,0.00065625,0.00065625,0.00065625
2,46.834,1.43695,1.71355,1.60696,0.56302,0.43996,0.47103,0.19442,1.82702,2.94785,2.25613,0.00130982,0.00130982,0.00130982
3,69.6145,1.49238,1.57381,1.63157,0.45265,0.38753,0.36349,0.13866,2.05959,3.23403,2.44974,0.00195019,0.00195019,0.00195019
4,93.0448,1.46714,1.47561,1.64387,0.39655,0.40379,0.31435,0.1139,2.22149,2.84172,2.6248,0.0019406,0.0019406,0.0019406
5,116.817,1.43995,1.3225,1.58714,0.73771,0.5122,0.61314,0.28399,1.87197,1.87014,2.13355,0.0019208,0.0019208,0.0019208
6,140.744,1.4138,1.30952,1.5957,0.72306,0.71003,0.75024,0.3839,1.70568,1.3682,1.93107,0.001901,0.001901,0.001901
7,164.833,1.38809,1.19614,1.55169,0.7376,0.63144,0.66277,0.32639,1.81749,1.56353,2.07027,0.0018812,0.0018812,0.0018812
8,188.927,1.38444,1.16854,1.54542,0.64061,0.66667,0.67077,0.31224,1.82014,1.44496,1.95945,0.0018614,0.0018614,0.0018614
9,213.07,1.35931,1.10168,1.53164,0.71592,0.58052,0.61839,0.29235,1.81757,1.68623,2.04467,0.0018416,0.0018416,0.0018416
10,237.235,1.34528,1.06739,1.52328,0.77761,0.73442,0.77566,0.34566,1.82434,1.16901,1.97481,0.0018218,0.0018218,0.0018218
11,261.753,1.33057,1.07132,1.49493,0.85819,0.80217,0.87262,0.4788,1.49706,1.01434,1.65315,0.001802,0.001802,0.001802
12,286.483,1.33033,1.04514,1.49362,0.78591,0.67209,0.74766,0.37366,1.70006,1.34532,1.91618,0.0017822,0.0017822,0.0017822
